extract_date,date_range,stay_length,dep_cost,ret_cost,total_cost
2022-09-09,Sun 18 to Mon 26,8,282,437,719
2022-09-09,Sun 18 to Tue 27,9,282,390,672
2022-09-09,Sun 18 to Wed 28,10,282,352,634
2022-09-09,Sun 18 to Thu 29,11,282,318,600
2022-09-09,Mon 19 to Mon 26,7,212,437,649
2022-09-09,Mon 19 to Tue 27,8,212,390,602
2022-09-09,Mon 19 to Wed 28,9,212,352,564
2022-09-09,Mon 19 to Thu 29,10,212,318,530
2022-09-09,Mon 19 to Fri 30,11,212,352,564
2022-09-09,Tue 20 to Tue 27,7,212,390,602
2022-09-09,Tue 20 to Wed 28,8,212,352,564
2022-09-09,Tue 20 to Thu 29,9,212,318,530
2022-09-09,Tue 20 to Fri 30,10,212,352,564
2022-09-09,Tue 20 to Sat 31,11,212,282,494
2022-09-09,Wed 21 to Wed 28,7,282,352,634
2022-09-09,Wed 21 to Thu 29,8,282,318,600
2022-09-09,Wed 21 to Fri 30,9,282,352,634
2022-09-09,Wed 21 to Sat 31,10,282,282,564
2022-09-09,Thu 22 to Thu 29,7,352,318,670
2022-09-09,Thu 22 to Fri 30,8,352,352,704
2022-09-09,Thu 22 to Sat 31,9,352,282,634
2022-09-09,Fri 23 to Fri 30,7,352,352,704
2022-09-09,Fri 23 to Sat 31,8,352,282,634
