extract_date,date_range,stay_length,dep_cost,ret_cost,total_cost
2022-07-28,Sun 18 to Mon 26,8,265,390,655
2022-07-28,Sun 18 to Tue 27,9,265,352,617
2022-07-28,Sun 18 to Wed 28,10,265,352,617
2022-07-28,Sun 18 to Thu 29,11,265,318,583
2022-07-28,Mon 19 to Mon 26,7,212,390,602
2022-07-28,Mon 19 to Tue 27,8,212,352,564
2022-07-28,Mon 19 to Wed 28,9,212,352,564
2022-07-28,Mon 19 to Thu 29,10,212,318,530
2022-07-28,Mon 19 to Fri 30,11,212,318,530
2022-07-28,Tue 20 to Tue 27,7,212,352,564
2022-07-28,Tue 20 to Wed 28,8,212,352,564
2022-07-28,Tue 20 to Thu 29,9,212,318,530
2022-07-28,Tue 20 to Fri 30,10,212,318,530
2022-07-28,Tue 20 to Sat 31,11,212,295,507
2022-07-28,Wed 21 to Wed 28,7,258,352,610
2022-07-28,Wed 21 to Thu 29,8,258,318,576
2022-07-28,Wed 21 to Fri 30,9,258,318,576
2022-07-28,Wed 21 to Sat 31,10,258,295,553
2022-07-28,Thu 22 to Thu 29,7,295,318,613
2022-07-28,Thu 22 to Fri 30,8,295,318,613
2022-07-28,Thu 22 to Sat 31,9,295,295,590
2022-07-28,Fri 23 to Fri 30,7,318,318,636
2022-07-28,Fri 23 to Sat 31,8,318,295,613
