extract_date,date_range,stay_length,dep_cost,ret_cost,total_cost
2022-08-28,Sun 18 to Mon 26,8,322,437,759
2022-08-28,Sun 18 to Tue 27,9,322,390,712
2022-08-28,Sun 18 to Wed 28,10,322,386,708
2022-08-28,Sun 18 to Thu 29,11,322,386,708
2022-08-28,Mon 19 to Mon 26,7,273,437,710
2022-08-28,Mon 19 to Tue 27,8,273,390,663
2022-08-28,Mon 19 to Wed 28,9,273,386,659
2022-08-28,Mon 19 to Thu 29,10,273,386,659
2022-08-28,Mon 19 to Fri 30,11,273,352,625
2022-08-28,Tue 20 to Tue 27,7,290,390,680
2022-08-28,Tue 20 to Wed 28,8,290,386,676
2022-08-28,Tue 20 to Thu 29,9,290,386,676
2022-08-28,Tue 20 to Fri 30,10,290,352,642
2022-08-28,Tue 20 to Sat 31,11,290,313,603
2022-08-28,Wed 21 to Wed 28,7,322,386,708
2022-08-28,Wed 21 to Thu 29,8,322,386,708
2022-08-28,Wed 21 to Fri 30,9,322,352,674
2022-08-28,Wed 21 to Sat 31,10,322,313,635
2022-08-28,Thu 22 to Thu 29,7,437,386,823
2022-08-28,Thu 22 to Fri 30,8,437,352,789
2022-08-28,Thu 22 to Sat 31,9,437,313,750
2022-08-28,Fri 23 to Fri 30,7,437,352,789
2022-08-28,Fri 23 to Sat 31,8,437,313,750
