extract_date,date_range,stay_length,dep_cost,ret_cost,total_cost
2022-08-20,Sun 18 to Mon 26,8,278,437,715
2022-08-20,Sun 18 to Tue 27,9,278,390,668
2022-08-20,Sun 18 to Wed 28,10,278,352,630
2022-08-20,Sun 18 to Thu 29,11,278,352,630
2022-08-20,Mon 19 to Mon 26,7,212,437,649
2022-08-20,Mon 19 to Tue 27,8,212,390,602
2022-08-20,Mon 19 to Wed 28,9,212,352,564
2022-08-20,Mon 19 to Thu 29,10,212,352,564
2022-08-20,Mon 19 to Fri 30,11,212,318,530
2022-08-20,Tue 20 to Tue 27,7,243,390,633
2022-08-20,Tue 20 to Wed 28,8,243,352,595
2022-08-20,Tue 20 to Thu 29,9,243,352,595
2022-08-20,Tue 20 to Fri 30,10,243,318,561
2022-08-20,Tue 20 to Sat 31,11,243,318,561
2022-08-20,Wed 21 to Wed 28,7,282,352,634
2022-08-20,Wed 21 to Thu 29,8,282,352,634
2022-08-20,Wed 21 to Fri 30,9,282,318,600
2022-08-20,Wed 21 to Sat 31,10,282,318,600
2022-08-20,Thu 22 to Thu 29,7,318,352,670
2022-08-20,Thu 22 to Fri 30,8,318,318,636
2022-08-20,Thu 22 to Sat 31,9,318,318,636
2022-08-20,Fri 23 to Fri 30,7,352,318,670
2022-08-20,Fri 23 to Sat 31,8,352,318,670
